"word1","word2","n"
"including","visitor",407
"inmate","including",407
"rikers","visit",407
"rules","visiting",407
"schedule","travel",407
"travel","directions",407
"visit","bus",407
"visiting","schedule",407
"visitor","rules",407
"bar","club",403
"96th","street",396
"commercial","rent",396
"crt","paid",396
"manhattan","south",396
"rent","payments",396
"rent","tax",396
"tax","crt",396
"business","opportunities",395
"phone","service",395
"service","billing",395
"city","including",394
"contracts","programs",394
"including","contracts",394
"nyc","public",394
"programs","payments",394
"affairs","dca",392
"street","vendor",392
"agency","commissioners",390
"commissioners","deputy",390
"contact","agency",390
"deputy","mayors",390
"mayor's","senior",390
"senior","staff",390
"management","agency",388
"stray","bag",388
"commercial","location",387
"service","company",387
"improve","residential",385
"ambulette","black",384
"black","cab",384
"grass","clippings",383
"leaves","grass",383
"community","boards",382
"care","provider",379
"technical","assistance",376
"financial","advice",372
"professional","financial",372
"refund","law",372
"related","issues",367
"entitlement","counseling",365
"repair","install",361
"age","3",359
"developmental","delays",359
"intervention","services",359
"exemption","listed",358
"divorce","proceedings",357
"enrollment","assistance",349
"insurance","plan",349
"person","enrollment",349
"residential","property",348
"car","home",345
"credit","debt",345
"health","car",345
"home","life",345
"insurance","company",345
"money","management",345
"property","insurance",345
"report","improper",345
"care","programs",340
"city","funded",340
"funded","child",340
"including","earlylearn",340
"licensed","child",340
"programs","including",340
"free","public",338
"public","wi",338
"volunteer","opportunities",338
"wi","fi",338
"building","exits",337
"fire","escapes",337
"inadequate","building",337
"registration","status",337
"report","blocked",337
"cost","immunization",336
"donate","blood",336
"health","tuberculosis",336
"immunization","sexual",336
"offering","free",336
"sexual","health",336
"vacant","lot",336
"safety","rules",334
"school","enrollment",334
"waste","disposal",331
"conditioner","ventilation",325
"exhaust","device",325
"traffic","rules",325
"ventilation","equipment",325
"drag","racing",324
"public","meetings",324
"report","drag",324
"exhibitions","public",323
"festivals","exhibitions",323
"parades","festivals",323
"report","social",323
"security","fraud",323
"information","report",322
"parole","information",322
"parole","officer",322
"parole","violation",322
"animal","causing",319
"care","facility",319
"enforcement","report",319
"facility","child",319
"fire","ambulance",319
"hazardous","condition",319
"commercial","waste",317
"disposal","company",317
"denial","removal",314
"exchange","refund",314
"smell","coming",314
"add","prune",312
"care","center",312
"owner's","expense",312
"property","owner's",312
"prune","decorate",312
"center","licensing",310
"including","free",310
"licensing","operation",310
"hazardous","occupations",309
"free","classes",308
"report","drinking",306
"social","club",306
"unlicensed","establishment",306
"school","district",303
"comparing","plan",301
"medicare","medicaid",301
"plan","choices",301
"understanding","medicare",301
"diploma","including",299
"ged","exam",299
"tasc","diploma",299
"city","planning",298
"animal","care",296
"care","centers",296
"fraud","involving",293
"income","sales",293
"involving","sales",293
"payroll","cigarette",293
"personal","income",293
"report","tax",293
"sales","payroll",293
"tax","evasion",293
"city","services",291
"professional","misconduct",290
"report","professional",290
"report","welfare",290
"welfare","fraud",290
"commercial","building",289
"dangerous","driving",287
"report","reckless",287
"charter","schools",285
"poison","related",280
"accident","report",278
"financial","aid",278
"inadequate","street",278
"report","missed",278
"street","cleaning",278
"vehicle","accident",278
"academic","programs",277
"campus","locations",277
"including","campus",277
"locations","academic",277
"public","university",277
"university","system",277
"medical","care",270
"construction","site",265
"report","damage",263
"street","caused",263
"supportive","housing",263
"based","violence",262
"domestic","intimate",262
"elder","abuse",262
"gender","based",262
"intimate","partner",262
"sex","trafficking",262
"stop","center",262
"violence","elder",262
"exhaust","system",260
"illegal","installed",260
"inadequate","ventilation",260
"installed","improperly",260
"report","inadequate",260
"ventilation","inside",260
"sewage","leak",258
"including","syep",257
"people","including",257
"fire","safety",256
"site","safety",256
"neutering","services",254
"spay","neutering",254
"rules","regulations",251
"training","requirements",251
"residential","buildings",249
"stolen","vehicle",248
"health","department",247
"sidewalk","shed",246
"business","selling",244
"mentally","ill",242
"rent","security",242
"security","deposit",242
"money","owed",241
"recovering","money",241
"authority","bus",239
"bus","station",239
"bus","terminal",239
"george","washington",239
"port","authority",239
"washington","bus",239
"school","student",238
"died","adoptions",237
"handles","wills",237
"hanging","scaffold",237
"pipe","scaffold",237
"scaffold","suspended",237
"traffic","sign",237
"wills","estates",237
"elected","official",234
"investigates","complaints",234
"payroll","information",234
"height","limit",233
"limit","missing",233
"adult","home",232
"assisted","living",232
"living","facility",232
"con","edison",231
"edison","worksites",231
"foster","care",231
"submit","questions",231
"accessible","taxi",228
"wheelchair","accessible",228
"detector","requirements",227
"monoxide","detector",227
"monoxide","emission",227
"poisoning","learn",227
"report","carbon",227
"disabled","homeowners",226
"motor","vehicle",225
"city's","assessment",222
"department","online",222
"disabled","rent",222
"drie","programs",222
"litter","basket",222
"online","licenses",222
"property's","market",222
"report","smoke",222
"water","meter",222
"unknown","source",221
"dca","online",220
"online","services",220
"report","illness",219
"anti","skid",218
"missing","anti",218
"noisy","missing",218
"shifted","noisy",218
"skid","material",218
"steel","street",218
"street","plate",218
"building","constructed",217
"letter","dob",217
"city's","traffic",216
"kindergarten","program",214
"public","litter",214
"replacement","public",214
"school","kindergarten",214
"parking","lot",213
"report","missing",213
"cover","future",211
"future","costs",211
"repair","service",211
"service","lines",211
"service","requests",210
"bike","membership",207
"citi","bike",207
"equipment","maintenance",207
"broken","leaking",204
"frozen","missing",204
"leaking","frozen",204
"construction","project",202
"garbage","disposal",202
"improper","garbage",202
"tattoo","artist",201
"lead","paint",198
"service","laundromat",198
"washes","clothes",198
"report","street",197
"street","flooding",197
"inspection","procedures",195
"restaurant","inspection",195
"building's","janitor",194
"residential","building's",194
"mosquito","season",191
"standing","water",191
"tow","truck",187
"breaking","park",186
"city","commercial",186
"commercial","motor",186
"park","rules",186
"stray","trash",186
"tax","cmvt",186
"trash","bag",186
"vehicle","tax",186
"illegally","removed",185
"report","asbestos",185
"unsanitary","conditions",185
"adult","learners",183
"continuing","education",183
"education","courses",183
"esl","vocational",183
"exam","preparation",183
"including","ged",183
"learners","including",183
"preparation","esl",183
"tasc","exam",183
"vocational","training",183
"home","improvement",182
"specific","department",182
"2","family",181
"family","home",181
"census","employment",180
"employment","opportunities",180
"person","defecating",180
"bike","chained",179
"chained","bike",179
"quit","smoking",179
"unusable","chained",179
"properly","secured",178
"student","records",176
"autopsy","report",175
"city","beach",175
"including","syringes",175
"legal","family",175
"medical","waste",175
"waste","including",175
"food","certificate",174
"replacement","request",174
"request","status",174
"1910","death",172
"birth","certificates",172
"dca","violation",172
"death","certificates",172
"marriage","records",172
"request","birth",172
"traveling","abroad",172
"card","company",171
"credit","card",171
"employment","activities",170
"request","student",170
"required","employment",170
